"Isabela", "Lima", "IsabelaAlmeidaLima@armyspy.com@g.com", "8/12/1952", "F", "A+", "Quadra QNP 22 Conjunto O 1386", "Ceilândia", "DF", "72235-215","71243094419", "323"
"Isabella", "Souza", "IsabellaAlmeidaSouza@einrot.com", "4/11/1935", "F", "O+", "Avenida Professor João Brasil 338", "Niterói", "RJ", "24110-491","96550535719", "956"
"Otávio", "Pinto", "OtavioSilvaPinto@gustr.com", "11/27/1945", "M", "B+", "Alto Pedro Calmon 1433", "Ilhéus", "BA", "45650-400","12838978810", "345"
"Kauan", "Melo", "KauanPereiraMelo@armyspy.com", "9/5/1984", "M", "A+", "Avenida Beira Rio Cachorinho 1890", "Queimados", "RJ", "26375-100","78914336662", "145"
"Laura", "Cavalcanti", "LauraAzevedoCavalcanti@einrot.com", "12/13/1963", "F", "A+", "Rua Moipora 1367", "Carapicuíba", "SP", "06350-060","75526527565", "145"
"Yasmin", "Oliveira", "YasminSantosOliveira@gustr.com", "6/24/1957", "F", "O+", "Rua Miguel Scharan 808", "Campo Mourão", "PR", "87301-170","50438490029", "112"
"Tomás", "Oliveira", "TomasSousaOliveira@jourrapide.com", "5/22/1945", "M", "B+", "Quadra 407 Norte Alameda 10 946", "Palmas", "TO", "77001-542","64991933480", "98"
"Bianca", "Almeida", "BiancaRochaAlmeida@dayrep.com", "10/24/2000", "F", "O+", "Rua Tangará 1749", "Salvador", "BA", "41211-425","73590435810", "345"
"Julieta", "Pereira", "JulietaRodriguesPereira@rhyta.com", "10/7/1945", "F", "O+", "Rua Vinícius de Aquino 1296", "Goiânia", "GO", "74355-788","72293458555", "112"
"Gabriel", "Lima", "GabrielSouzaLima@rhyta.com", "3/18/1949", "M", "B+", "Rua Araçaí 246", "Recife", "PE", "52171-300","04165924571", "98"
"Ágatha", "Goncalves", "AgathaSantosGoncalves@gustr.com", "1/12/2001", "F", "A+", "Rua Zacarias de Góes e Vasconcelos 808", "Ponta Grossa", "PR", "84020-220","72754101179", "956"
"Luana", "Ferreira", "LuanaPintoFerreira@gustr.com", "4/25/1958", "F", "B+", "Rua A 1560", "Volta Redonda", "RJ", "27286-630","31987699734", "323"
"Letícia", "Barbosa", "LeticiaGomesBarbosa@superrito.com", "6/21/1944", "F", "B+", "Rua Sete 1972", "Americana", "SP", "13474-292","88516933407", "956"
"Livia", "Costa", "LiviaRochaCosta@teleworm.us", "3/7/1992", "F", "A+", "Rua Fritz Feigl 1809", "Rio de Janeiro", "RJ", "22750-600","48542490568", "389"
"Bianca", "Santos", "BiancaGoncalvesSantos@fleckens.hu", "3/11/1935", "F", "AB+", "Quadra QN 525 Bloco C 1519", "Samambaia", "DF", "72317-543","02681199107", "345"
"Erick", "Gomes", "ErickCunhaGomes@armyspy.com", "6/19/1991", "M", "O+", "Rua José Martins Delazare 534", "Vitória", "ES", "29048-200","56523345254", "145"
"Rafaela", "Cardoso", "RafaelaCastroCardoso@cuvox.de", "6/11/2001", "F", "B+", "Rua Dezoito 1850", "Campinas", "SP", "13053-145","94166012924", "986"
"Aline", "Almeida", "AlineBarrosAlmeida@einrot.com", "2/20/1964", "F", "O+", "Rua Norge Hamburgo 1272", "Nova Friburgo", "RJ", "28615-615","90434767301", "45"
"João", "Ribeiro", "JoaoCostaRibeiro@teleworm.us", "7/25/1990", "M", "B+", "Rua Jardim Suspenso 927", "Barueri", "SP", "06410-330","07642825464", "345"
"Marcos", "Castro", "MarcosAlvesCastro@einrot.com", "12/1/1990", "M", "O+", "Rua José Mari 1788", "Taboão da Serra", "SP", "06754-140","43378599006", "122"
"Evelyn", "Lima", "EvelynSilvaLima@gustr.com", "12/1/1948", "F", "B+", "Rua Arroio Santa Fé 485", "São Paulo", "SP", "08472-730","46199163079", "231"
"Sarah", "Rocha", "SarahPintoRocha@jourrapide.com", "8/30/1951", "F", "O-", "Rua Aurasil Simões 1177", "Campinas", "SP", "13060-170","28535141022", "91"
"Guilherme", "Silva", "GuilhermeCavalcantiSilva@dayrep.com", "3/21/1974", "M", "O+", "Área de Desenvolvimento Econômico Sul Conjunto 16 389", "Samambaia", "DF", "72314-716","06903420398", "91"
"Julia", "Goncalves", "JuliaRodriguesGoncalves@armyspy.com", "10/13/2003", "F", "AB+", "Rua Robert Richard Mac Fadden 1234", "Campinas", "SP", "13070-113","88640663020", "956"
"Gabrielle", "Pinto", "GabrielleRibeiroPinto@jourrapide.com", "2/12/1983", "F", "O+", "Área de Desenvolvimento Econômico Sul Conjunto 13 731", "Samambaia", "DF", "72314-713","70762004908", "145"
"André", "Barros", "AndreCorreiaBarros@einrot.com", "10/5/1943", "M", "O+", "Rua 9 Unidade 205 347", "Goiânia", "GO", "74893-370","78540116561", "91"
"Sofia", "Pereira", "SofiaCunhaPereira@fleckens.hu", "7/19/1934", "F", "B+", "Rua Olga Rocha 1584", "Salvador", "BA", "41207-259","27834807781", "956"
