"Arthur", "Araujo", "ArthurSantosAraujo@cuvox.de", "5/19/1989", "M", "O+", "3ª Travessa Júlio Bernardo 974", "Recife", "PE", "50060-483","65425955030", "323"
"Maria", "Pinto", "MariaCostaPinto@jourrapide.com", "2/7/1946", "F", "A+", "Rua Antônio Mulin 390", "Ribeirão Preto", "SP", "14031-489","42463150440", "956"
"Clara", "Oliveira", "ClaraCastroOliveira@rhyta.com", "12/7/1965", "F", "O-", "Rua Vinte e Quatro 69", "Uberaba", "MG", "38051-297","64533648088", "45"
"Felipe", "Costa", "FelipeSouzaCosta@armyspy.com", "9/19/1942", "M", "B+", "Passagem Presidente Vargas 1493", "Belém", "PA", "66075-660","77373417574", "145"
"Leila", "Gomes", "LeilaMartinsGomes@einrot.com", "7/18/1953", "F", "O+", "1ª Travessa Guarani 942", "Recife", "PE", "52131-621","51470721953", "956"
"Mariana", "Carvalho", "MarianaPereiraCarvalho@einrot.com", "11/3/1932", "F", "A+", "Rua Waldomiro Calmazini 702", "Mogi-Mirim", "SP", "13806-403","76889469488", "389"
"Martim", "Pinto", "MartimAraujoPinto@armyspy.com", "9/28/1961", "M", "O+", "Rua K 1840", "Porto Alegre", "RS", "91160-170","94146759145", "112"
"Sarah", "Melo", "SarahBarrosMelo@superrito.com", "8/12/1945", "F", "O+", "Rua Galileu 1503", "Rio de Janeiro", "RJ", "20785-070","57438572455", "231"
"Maria", "Cardoso", "MariaBarbosaCardoso@rhyta.com", "5/9/1981", "F", "AB+", "Rua Reitor Onofre Lopes 1185", "Natal", "RN", "59066-230","79740291961", "389"
"Marisa", "Santos", "MarisaCarvalhoSantos@fleckens.hu", "5/23/1965", "F", "A+", "Quadra CLN 302 Bloco B 395", "Brasília", "DF", "70723-520","13651974847", "112"
"Laura", "Pereira", "LauraMartinsPereira@cuvox.de", "8/16/2002", "F", "O+", "Rua Quatro 591", "Resende", "RJ", "27524-190","43284501231", "231"
"Marcos", "Araujo", "MarcosSouzaAraujo@cuvox.de", "2/23/1936", "M", "O-", "Travessa Leonardo 1313", "Santo André", "SP", "09180-050","96774237118", "91"
"Eduarda", "Araujo", "EduardaGoncalvesAraujo@superrito.com", "1/24/1998", "F", "A+", "Rua Simplício Moreira 1789", "Imperatriz", "MA", "65901-040","50142825808", "91"
"Maria", "Cardoso", "MariaRochaCardoso@rhyta.com", "8/12/1949", "F", "B+", "Rua Sílvio Ferreira Domingues 1974", "Itapecerica da Serra", "SP", "06871-170","97771992102", "98"
"Camila", "Fernandes", "CamilaRibeiroFernandes@fleckens.hu", "10/17/1972", "F", "B+", "Rua Primo Adami 1099", "Caxias do Sul", "RS", "95088-250","54972032561", "389"
"Gustavo", "Fernandes", "GustavoAlmeidaFernandes@rhyta.com", "7/26/1964", "M", "O+", "Rua Laurindo Limão 23", "Bauru", "SP", "17022-148","51569002240", "956"
"Sophia", "Silva", "SophiaCunhaSilva@einrot.com", "3/25/1968", "F", "A+", "Rua 25 de Dezembro 1184", "Luziânia", "GO", "72800-640","59288960775", "345"
"Joao", "Cavalcanti", "JoaoDiasCavalcanti@dayrep.com", "7/31/1984", "M", "A+", "Rua Francisco de Paula Franco 1142", "Lorena", "SP", "12605-150","60606650393", "98"
"Rafaela", "Goncalves", "RafaelaLimaGoncalves@fleckens.hu", "1/9/1944", "F", "O+", "Rua Mário Pancini 4", "São Paulo", "SP", "02733-120","14675442307", "895"
"Vitoria", "Cunha", "VitoriaCavalcantiCunha@einrot.com", "5/18/1996", "F", "O+", "Rua Rita de Cássia Moura Menezes 136", "Mogi das Cruzes", "SP", "08726-050","66464263170", "98"
"Paulo", "Correia", "PauloFerreiraCorreia@fleckens.hu", "8/18/1978", "M", "O+", "Rua Nicola Zambrano 531", "São Carlos", "SP", "13570-560","31620584816", "345"
"Vitória", "Ferreira", "VitoriaRibeiroFerreira@dayrep.com", "9/8/1968", "F", "O+", "Rua Prudente de Moraes 304", "Carapicuíba", "SP", "06310-101","78775714612", "91"
"Beatrice", "Silva", "BeatriceMartinsSilva@fleckens.hu@g.com", "12/9/1994", "F", "O+", "Rua Moreira Lima 1000", "Santa Maria", "RS", "97040-045","04287671414", "345"
"Giovana", "Castro", "GiovanaPintoCastro@einrot.com", "1/26/1956", "F", "B+", "Rua Aníbal Sônego 246", "Criciúma", "SC", "88815-188","15855016463", "145"
"Guilherme", "Cavalcanti", "GuilhermeCastroCavalcanti@cuvox.de", "1/16/1940", "M", "O+", "Largo Portugal 1175", "Pelotas", "RS", "96010-340","35074800188", "145"
"Tomás", "Lima", "TomasDiasLima@einrot.com", "2/11/1962", "M", "A+", "Rua Antonio Scudelário 953", "Taubaté", "SP", "12060-809","02507706872", "122"
"Kauan", "Martins", "KauanCarvalhoMartins@jourrapide.com", "2/25/1988", "M", "B+", "Rua Antônio Aguiar Monteiro 1744", "Osasco", "SP", "06140-230","72523534789", "323"
"Letícia", "Cunha", "LeticiaAraujoCunha@fleckens.hu", "4/27/1992", "F", "O+", "Rua Líbia 1716", "Santo André", "SP", "09251-020","54536233652", "389"
"Giovana", "Costa", "GiovanaPintoCosta@cuvox.de", "7/4/1943", "F", "B+", "Rua Benedito F. Cunha 1184", "Suzano", "SP", "08664-470","58695226689", "231"
"Júlio", "Pinto", "JulioAzevedoPinto@dayrep.com", "11/6/1977", "M", "B+", "Rua Nove de Julho 1929", "Votuporanga", "SP", "15502-051","40164958061", "986"
"Larissa", "Goncalves", "LarissaMartinsGoncalves@gustr.com", "3/4/1944", "F", "A+", "Alameda Copérnico 1434", "Bauru", "SP", "17064-440","86448740716", "145"
"Vitória", "Oliveira", "VitoriaCorreiaOliveira@fleckens.hu", "7/22/1960", "F", "B-", "Rua Carolina 363", "Itaguaí", "RJ", "23810-440","20923669639", "231"
"Gustavo", "Cavalcanti", "GustavoCostaCavalcanti@cuvox.de", "2/8/1969", "M", "B-", "Rua 3 1335", "Fortaleza", "CE", "60761-140","25968766980", "956"
"Kaua", "Azevedo", "KauaSantosAzevedo@teleworm.us", "11/18/1940", "M", "A+", "Rua Rio Pardo 999", "Rio de Janeiro", "RJ", "23595-115","54606405392", "45"
"Marisa", "Almeida", "MarisaRodriguesAlmeida@einrot.com", "11/16/1942", "F", "O+", "Avenida Caxangá 1647", "Recife", "PE", "50731-000","64977211260", "895"
"André", "Oliveira", "AndreSouzaOliveira@gustr.com", "7/14/1942", "M", "O+", "Rua Antônio Carlos Almeida 1057", "Sete Lagoas", "MG", "35701-350","66057653114", "956"
"Leila", "Ribeiro", "LeilaMeloRibeiro@gustr.com", "3/26/1946", "F", "A+", "Rua Marginal 1009", "Guarujá", "SP", "11444-740","81306500966", "231"
"Isabela", "Oliveira", "IsabelaPereiraOliveira@fleckens.hu@g.com", "5/16/1936", "F", "O+", "Rua dos Cunha 162", "São Paulo", "SP", "08490-510","45565974470", "45"
"Aline", "Sousa", "AlineRodriguesSousa@armyspy.com", "9/23/1962", "F", "A+", "Rua 51 968", "Valparaíso de Goiás", "GO", "72871-051","00426434145", "122"
"Breno", "Correia", "BrenoBarbosaCorreia@einrot.com", "1/11/1987", "M", "O-", "Travessa Rizzieri Fabris 217", "Ribeirão Preto", "SP", "14055-638","52147595926", "323"
"Matheus", "Silva", "MatheusGomesSilva@einrot.com", "5/3/1979", "M", "A+", "Rua Abaetetuba 1868", "Recife", "PE", "52120-306","17995387962", "389"
"Danilo", "Souza", "DaniloCarvalhoSouza@gustr.com", "9/5/1959", "M", "O+", "Rua Félix Oliveira Pereira 1363", "Blumenau", "SC", "89058-090","76255844706", "389"
"Otávio", "Pinto", "OtavioOliveiraPinto@armyspy.com", "9/8/1954", "M", "O+", "Rua Frei Rogério 679", "Curitiba", "PR", "81530-080","02170394990", "122"
"Bianca", "Sousa", "BiancaRochaSousa@fleckens.hu", "6/9/1958", "F", "A+", "Rua Silva Barros 1778", "Sorocaba", "SP", "18075-570","00211523909", "986"
